Player 1,Player 2,Score Player 1,Score Player 2
1126,5677,99,104
1126,5702,145,140
1126,5712,246,156
1126,5766,386,171
1126,5848,124,119
1126,6053,111,121
1126,6120,344,234
1126,6170,307,167
1126,6294,99,104
1184,35,363,43
1184,270,300,300
1184,362,300,300
1184,400,300,300
1184,425,185,190
1184,541,300,300
1184,601,147,147
1184,617,300,300
1184,664,300,300
1184,785,300,300
1184,930,317,67
1184,942,363,43
1184,1003,300,300
1184,1145,300,300
1184,1157,363,43
1184,1179,300,300
1184,1194,300,300
1184,1282,281,61
1184,1297,300,300
1184,1315,300,300
1184,1361,121,121
1184,1362,300,300
1184,1369,363,43
1184,1370,300,300
1184,1450,300,300
1184,1542,300,300
1184,1556,300,300
1184,1633,300,300
1184,1634,143,148
1184,1636,300,300
1184,1713,107,107
1184,1760,363,43
1184,1860,315,50
1184,1926,300,300
1184,1982,300,300
1184,1993,300,300
1184,2021,363,43
1184,2045,99,104
1184,2066,363,43
1184,2083,300,300
1184,2212,300,300
1184,2300,300,300
1184,2374,300,300
1184,2503,119,124
1184,2524,300,300
1184,2617,300,300
1184,2642,303,68
1184,2661,300,300
1184,2726,300,300
1184,2728,300,300
1184,2743,109,114
1184,2758,300,300
1184,2777,99,104
1184,2850,300,300
1184,2890,99,104
1184,2934,363,43
1184,3027,99,104
1184,3032,319,49
1184,3042,319,54
1184,3111,300,300
1184,3120,300,300
1184,3164,300,300
1184,3278,99,104
1184,3285,300,300
1184,3434,300,300
1184,3678,105,110
1184,3710,300,300
1184,3711,277,67
1184,3862,300,300
1184,3953,300,300
1184,3990,300,300
1184,3996,300,300
1184,4043,307,52
1184,4086,363,43
1184,4217,295,55
1184,4225,300,300
1184,4317,300,300
1184,4334,363,43
1184,4335,300,300
1184,4387,363,43
1184,4412,300,300
1184,4453,300,300
1184,4467,300,300
1184,4736,300,300
1184,4803,300,300
1184,4815,363,43
1184,4827,300,300
1184,4958,300,300
1184,4972,300,300
1184,5015,300,300
1184,5118,115,120
1184,5186,99,104
1184,5316,300,300
1184,5318,300,300
1184,5520,101,106
1184,5536,300,300
1184,5710,300,300
1184,5719,300,300
1184,5808,119,124
1184,5884,300,300
1184,6020,300,300
1184,6046,285,60
1184,6139,300,300
1184,6261,363,43
1184,6270,315,55
1184,6313,300,300
1184,6370,300,300
1269,58,65,255
1269,85,55,280
1269,121,216,211
1269,227,185,225
1269,297,151,226
1269,364,239,214
1269,380,52,292
1269,381,57,287
1269,426,219,219
1269,438,140,235
1269,456,47,327
1269,549,252,202
1269,566,404,144
1269,579,60,285
1269,583,199,224
1269,617,216,246
1269,642,293,183
1269,710,240,210
